S No,Customer Enquiry Description,GGPL Quote Description (Ground Truth),TYPE OF PRODUCT,NON STANDARD
168,"4"" GASKET SPIRAL WOUND, 900#, ASME B16.20, AISI 316, GRAPHITE CS CENTRING /SS INNER RING Piping Class 91440X","SIZE: 4"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
169,"4"" GASKET SPIRAL WOUND, AISI 316, 150#, GRAPHITE CS CENTRE RING / SS INNER RING Piping Class 11502X","SIZE: 4"" X 150# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
170,"4""GASKET SPIRAL WOUND, 600#, ASME B16.20, AISI 316, GRAPHITE CS CENTRING /SS INNER RING","SIZE: 4"" X 600# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
171,"4""GASKET SPIRAL WOUND, AISI 316, 150#, GRAPHITE CS CENTRE RING / SS INNER RING Piping Class11502X","SIZE: 4"" X 150# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
172,"6"" GASKET SPIRAL WOUND 4.5MM THK,150# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20,Piping Class 11440Y","SIZE: 6"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
173,"6"" GASKET SPIRAL WOUND 4.5MM THK,150# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20,Piping Class 11440Y,","SIZE: 6"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
174,"6"" GASKET SPIRAL WOUND 4.5MM THK., 900# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20, Piping Class - 91440Y","SIZE: 6"" X 900# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
175,"6"" GASKET SPIRAL WOUND 4.5MM THK., 900# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20,Piping Class - 91440Y","SIZE: 6"" X 900# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
176,"6"" GASKET SPIRAL WOUND, 1500#, ASME B16.20, AISI 316, GRAPHITE CS CENTRING /SS INNER RING Piping Class 151440X","SIZE: 6"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
177,"6"" GASKET SPIRAL WOUND, 900#, ASME B16.20, AISI 316, GRAPHITE CS CENTRING /SS INNER RING Piping Class 91440X","SIZE: 6"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
178,"6"" GASKET SPIRAL WOUND, AISI 316, 150#, GRAPHITE CS CENTRE RING / SS INNER RING Piping Class 11502X","SIZE: 6"" X 150# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
179,"6"";1500#; RF; Gasket Spiral Wound,, AISI 316, Graphite CS centring-/SS inner ring ASME B16.20 ;:; CLASS 151502PL","SIZE: 6"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
180,"6"";2500#; RF; Gasket Spiral Wound,, AISI 316, Graphite CS centring-/SS inner ring ASME B16.20 ;:; CLASS 251492PL","SIZE: 6"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
181,"6"";2500#; RF; Gasket Spiral Wound,, AISI 316, Graphite CS centring-/SS inner ring ASME B16.20 ;:; CLASS 251492PLX","SIZE: 6"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
182,"6""GASKET SPIRAL WOUND, 600#, ASME B16.20, AISI 316, PTFE, CS CENTRING /SS INNER RING","SIZE: 6"" X 600# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH PTFE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
183,"6""GASKET SPIRAL WOUND, 900#, ASME B16.20, AISI 316, GRAPHITE CS CENTRING /SS INNER RING","SIZE: 6"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
184,"8"" GASKET SPIRAL WOUND 4.5MM THK,150# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20,Piping Class 11440Y","SIZE: 8"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
185,"8"" GASKET SPIRAL WOUND 4.5MM THK., 300# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20,Piping Class - 31440Y","SIZE: 8"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
186,"8"" GASKET SPIRAL WOUND 4.5MM THK., 900# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20, Piping Class - 91440Y","SIZE: 8"" X 900# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
187,"8"" GASKET SPIRAL WOUND 4.5MM THK., 900# RF,6Mo, PTFE, CS CENTRING RING/6Mo INNER RING,ASME B16.20,Piping Class - 91440Y","SIZE: 8"" X 900# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
188,"8""GASKET SPIRAL WOUND, 150#, ASME B16.20, AISI 316, GRAPHITE CS CENTRING /SS INNER RING","SIZE: 8"" X 150# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
189,"8""GASKET SPIRAL WOUND, 300#, ASME B16.20, AISI 316, PTFE, CS CENTRING /SS INNER RING","SIZE: 8"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH PTFE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
190,"8""GASKET SPIRAL WOUND, AISI 316, 150#, GRAPHITE CS CENTRE RING / SS INNER RING Piping Class11502X","SIZE: 8"" X 150# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
191,"Gasket Spiral Wound ; 6"";1500#, RF ; AISI 316, Graphite CS centring-/SS inner ring ASME B16.20 ; CLASS 151502PL","SIZE: 6"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
192,"GASKET SPIRAL WOUND 4.5MM THK.; 0.5""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151497X","SIZE: 0.5"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
193,"GASKET SPIRAL WOUND 4.5MM THK.; 0.5""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 0.5"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
194,"GASKET SPIRAL WOUND 4.5MM THK.; 0.5""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492X","SIZE: 0.5"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
195,"GASKET SPIRAL WOUND 4.5MM THK.; 0.5""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 33842X","SIZE: 0.5"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
196,"GASKET SPIRAL WOUND 4.5MM THK.; 0.75""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 0.75"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
197,"GASKET SPIRAL WOUND 4.5MM THK.; 0.75""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492X","SIZE: 0.75"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
198,"GASKET SPIRAL WOUND 4.5MM THK.; 0.75""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 33842X","SIZE: 0.75"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
199,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 150#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 13842X","SIZE: 1"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
200,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
201,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492X","SIZE: 1"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
202,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492Z","SIZE: 1"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
203,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 33842X","SIZE: 1"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
204,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 300#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 31502X","SIZE: 1"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
205,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 300#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 31503X","SIZE: 1"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
206,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 300#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 33451X","SIZE: 1"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
207,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 300#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 33461X","SIZE: 1"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
208,"GASKET SPIRAL WOUND 4.5MM THK.; 1""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 93842X","SIZE: 1"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
209,"GASKET SPIRAL WOUND 4.5MM THK.; 1.5""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151497X","SIZE: 1.5"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
210,"GASKET SPIRAL WOUND 4.5MM THK.; 1.5""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 1.5"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
211,"GASKET SPIRAL WOUND 4.5MM THK.; 1.5""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492X","SIZE: 1.5"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
212,"GASKET SPIRAL WOUND 4.5MM THK.; 1.5""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492Z","SIZE: 1.5"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
213,"GASKET SPIRAL WOUND 4.5MM THK.; 1.5""; 300#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 31503X","SIZE: 1.5"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
214,"GASKET SPIRAL WOUND 4.5MM THK.; 16""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 31440Y","SIZE: 16"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
215,"GASKET SPIRAL WOUND 4.5MM THK.; 16""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 91503X","SIZE: 16"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
216,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 150#; 6Mo, PTFE CS centring ring/6Mo inner ring; ASME B16.20; Class - 11440Y","SIZE: 2"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
217,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151440X","SIZE: 2"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
218,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151497X","SIZE: 2"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
219,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 2"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
220,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 153461X","SIZE: 2"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
221,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492X","SIZE: 2"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
222,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492Z","SIZE: 2"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
223,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 253455X","SIZE: 2"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
224,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 31440Y","SIZE: 2"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
225,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 33842X","SIZE: 2"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
226,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 91440X","SIZE: 2"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
227,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 91502X","SIZE: 2"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
228,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 91503X","SIZE: 2"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
229,"GASKET SPIRAL WOUND 4.5MM THK.; 2""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 93842X","SIZE: 2"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
230,"GASKET SPIRAL WOUND 4.5MM THK.; 3""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 3"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
231,"GASKET SPIRAL WOUND 4.5MM THK.; 3""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492Z","SIZE: 3"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
232,"GASKET SPIRAL WOUND 4.5MM THK.; 3""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 31440Y","SIZE: 3"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
233,"GASKET SPIRAL WOUND 4.5MM THK.; 3""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 91502X","SIZE: 3"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
234,"GASKET SPIRAL WOUND 4.5MM THK.; 4""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 4"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
235,"GASKET SPIRAL WOUND 4.5MM THK.; 4""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492Z","SIZE: 4"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
236,"GASKET SPIRAL WOUND 4.5MM THK.; 4""; 300#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 31503X","SIZE: 4"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
237,"GASKET SPIRAL WOUND 4.5MM THK.; 4""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 93842X","SIZE: 4"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
238,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 150#; 6Mo, PTFE CS centring ring/6Mo inner ring; ASME B16.20; Class - 11440Y","SIZE: 6"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
239,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 150#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 11440Y","SIZE: 6"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
240,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151440X","SIZE: 6"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
241,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151497X","SIZE: 6"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
242,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 6"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
243,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492X","SIZE: 6"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
244,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492Z","SIZE: 6"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
245,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 300#; 6Mo, PTFE, CS CENTERING / 6Mo INNER RING; ASME B16.20; Class - 31440Y","SIZE: 6"" X 300# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
246,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 300#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 31440X","SIZE: 6"" X 300# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
247,"GASKET SPIRAL WOUND 4.5MM THK.; 6""; 900#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 91503X","SIZE: 6"" X 900# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
248,"GASKET SPIRAL WOUND 4.5MM THK.; 8""; 150#; 6Mo, PTFE CS centring ring/6Mo inner ring; ASME B16.20; Class - 11440Y","SIZE: 8"" X 150# X 4.5MM THK, 6Mo SPIRAL WOUND GASKET WITH PTFE FILLER + 6Mo INNER RING & CS OUTER RING, ASME B16.20",SPW,
249,"GASKET SPIRAL WOUND 4.5MM THK.; 8""; 1500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 151502X","SIZE: 8"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
250,"GASKET SPIRAL WOUND 4.5MM THK.; 8""; 2500#; AISI 316, GRAPHITE, CS CENTERING / SS INNER RING; ASME B16.20; Class - 251492Z","SIZE: 8"" X 2500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
